Date,Load,Coal,Gas,Hydro,Wind,Solar
1/1/19 0:00,4234,2109,688,8,1429,0
1/1/19 1:00,3983,2136,777,8,1062,0
1/1/19 2:00,3844,2150,899,7,788,0
1/1/19 3:00,3753,2158,946,8,641,0
1/1/19 4:00,3725,2262,1018,7,438,0
1/1/19 5:00,3646,2433,966,8,239,0
1/1/19 6:00,3481,2568,664,71,178,0
1/1/19 7:00,3397,2568,637,87,105,0
1/1/19 8:00,3345,2405,850,51,39,0
1/1/19 9:00,3385,2392,943,8,20,22
1/1/19 10:00,3551,2399,988,72,48,44
1/1/19 11:00,3617,2339,923,83,219,53
1/1/19 12:00,3629,2309,772,79,406,63
1/1/19 13:00,3738,2375,710,84,505,64
1/1/19 14:00,3719,2330,759,82,466,82
1/1/19 15:00,3668,2309,809,62,379,109
1/1/19 16:00,3629,2283,968,8,308,62
1/1/19 17:00,3926,2285,1107,16,514,4
1/1/19 18:00,4429,2366,1340,81,642,0
1/1/19 19:00,4470,2481,1208,46,735,0
1/1/19 20:00,4454,2520,1209,0,725,0
1/1/19 21:00,4502,2541,1111,0,850,0
1/1/19 22:00,4285,2486,929,0,870,0
1/1/19 23:00,3911,2478,661,0,771,1
1/2/19 0:00,3786,2462,595,0,729,0
1/2/19 1:00,3642,2451,537,0,654,0
1/2/19 2:00,3539,2335,590,0,614,0
1/2/19 3:00,3572,2285,618,0,669,0
1/2/19 4:00,3607,2302,574,0,731,0
1/2/19 5:00,3635,2291,582,0,762,0
1/2/19 6:00,3800,2397,609,0,794,0
1/2/19 7:00,3940,2449,613,1,877,0
1/2/19 8:00,3968,2488,629,7,842,2
1/2/19 9:00,3970,2664,677,4,559,66
1/2/19 10:00,3956,2765,788,5,255,143
1/2/19 11:00,3958,2780,915,5,80,178
1/2/19 12:00,3864,2758,845,4,60,197
1/2/19 13:00,3788,2736,787,4,51,210
1/2/19 14:00,3690,2690,680,6,100,214
1/2/19 15:00,3646,2687,610,4,125,220
1/2/19 16:00,3625,2610,710,5,155,145
1/2/19 17:00,3844,2675,913,63,175,18
1/2/19 18:00,4357,2709,1257,88,303,0
1/2/19 19:00,4407,2707,1127,86,487,0
1/2/19 20:00,4362,2805,870,88,599,0
1/2/19 21:00,4142,2774,770,86,512,0
1/2/19 22:00,3820,2772,750,88,210,0
1/2/19 23:00,3626,2761,592,85,188,0
1/3/19 0:00,3314,2702,324,23,265,0
1/3/19 1:00,3134,2716,193,0,225,0
1/3/19 2:00,3053,2733,138,0,182,0
1/3/19 3:00,3033,2721,137,0,175,0
1/3/19 4:00,3055,2740,139,0,176,0
1/3/19 5:00,3120,2605,136,0,379,0
1/3/19 6:00,3241,2601,144,0,496,0
1/3/19 7:00,3541,2798,256,0,487,0
1/3/19 8:00,3806,2842,466,83,405,10
1/3/19 9:00,3822,2875,450,83,299,115
1/3/19 10:00,3908,2858,408,81,367,194
1/3/19 11:00,3816,2789,381,80,358,208
1/3/19 12:00,3798,2807,460,79,242,210
1/3/19 13:00,3729,2809,434,54,225,207
1/3/19 14:00,3657,2802,326,4,318,207
1/3/19 15:00,3642,2761,297,4,367,213
1/3/19 16:00,3630,2794,402,4,281,149
1/3/19 17:00,3793,2869,551,4,350,19
1/3/19 18:00,4412,2876,903,53,580,0
1/3/19 19:00,4613,2876,915,36,786,0
1/3/19 20:00,4456,2878,758,3,817,0
1/3/19 21:00,4249,2875,685,4,685,0
1/3/19 22:00,4025,2794,576,0,655,0
1/3/19 23:00,3703,2772,297,0,634,0
1/4/19 0:00,3463,2662,162,0,639,0
1/4/19 1:00,3340,2477,162,0,701,0
1/4/19 2:00,3219,2277,144,0,798,0
1/4/19 3:00,3148,2081,164,0,903,0
1/4/19 4:00,3211,2102,169,0,940,0
1/4/19 5:00,3353,2208,189,0,956,0
1/4/19 6:00,3587,2325,264,0,998,0
1/4/19 7:00,3890,2470,371,4,1045,0
1/4/19 8:00,4156,2636,552,5,955,8
1/4/19 9:00,4225,2640,588,3,863,131
1/4/19 10:00,4190,2731,557,4,693,205
1/4/19 11:00,4074,2704,589,3,573,205
1/4/19 12:00,3994,2643,591,5,543,212
1/4/19 13:00,3904,2660,593,5,441,205
1/4/19 14:00,3803,2658,594,2,340,209
1/4/19 15:00,3696,2634,578,2,264,218
1/4/19 16:00,3568,2617,580,5,213,153
1/4/19 17:00,3707,2736,598,35,318,20
1/4/19 18:00,4132,2867,636,82,547,0
1/4/19 19:00,4228,2825,590,79,734,0
1/4/19 20:00,4379,2771,725,80,803,0
1/4/19 21:00,4442,2779,614,80,969,0
1/4/19 22:00,4358,2757,423,64,1114,0
1/4/19 23:00,4206,2406,423,0,1377,0
1/5/19 0:00,4030,2148,387,0,1495,0
1/5/19 1:00,3877,2199,492,0,1186,0
1/5/19 2:00,3743,2320,672,0,751,0
1/5/19 3:00,3714,2521,652,0,541,0
1/5/19 4:00,3648,2497,647,0,504,0
1/5/19 5:00,3561,2523,667,0,371,0
1/5/19 6:00,3597,2597,642,6,352,0
1/5/19 7:00,3567,2652,615,4,295,1
1/5/19 8:00,3686,2703,619,6,349,9
1/5/19 9:00,3828,2707,617,5,385,114
1/5/19 10:00,3773,2641,623,7,310,192
1/5/19 11:00,3652,2622,585,5,228,212
1/5/19 12:00,3639,2622,585,5,213,214
1/5/19 13:00,3592,2620,585,4,185,198
1/5/19 14:00,3472,2624,581,5,102,160
1/5/19 15:00,3437,2623,585,6,112,111
1/5/19 16:00,3535,2649,630,67,140,49
1/5/19 17:00,3727,2755,631,86,242,13
1/5/19 18:00,4025,2839,691,80,415,0
1/5/19 19:00,4089,2755,613,82,639,0
1/5/19 20:00,3651,2030,760,91,770,0
1/5/19 21:00,3640,2052,879,81,628,0
1/5/19 22:00,3324,2096,915,81,232,0
1/5/19 23:00,3142,2100,833,79,130,0
1/6/19 0:00,2809,2035,599,80,95,0
1/6/19 1:00,2663,1937,580,28,118,0
1/6/19 2:00,2734,1964,623,6,141,0
1/6/19 3:00,2807,1943,622,5,237,0
1/6/19 4:00,2972,1973,556,6,437,0
1/6/19 5:00,3043,2057,518,5,463,0
1/6/19 6:00,3117,2117,403,6,591,0
1/6/19 7:00,3213,2217,577,6,413,0
1/6/19 8:00,3466,2348,598,7,510,3
1/6/19 9:00,3600,2344,543,8,601,104
1/6/19 10:00,3570,2412,458,5,575,120
1/6/19 11:00,3554,2223,616,6,515,194
1/6/19 12:00,3527,2269,626,6,467,159
1/6/19 13:00,3610,2299,625,6,555,125
1/6/19 14:00,3609,2344,595,8,540,122
1/6/19 15:00,3484,2397,588,7,362,130
